COUNTRY_PLAYER_ID	COUNTRY_ID	PLAYER_ID	USER_ID
633	2	622	6161
634	2	623	YukiPon-Nabe
635	2	624	K-tora
636	2	625	company
637	2	626	inaro
638	2	627	ryu
639	2	628	obaron
640	2	629	Hiira__blue
641	2	630	omoide2018
642	2	631	Ace
643	2	216	aither
644	2	632	kamipura
645	2	633	xxxmoonxxx
646	2	263	Kawolf
647	2	634	mihi
648	2	635	kiinegi
649	2	636	rioloprabbit
650	2	637	nyanyase
651	2	638	rinfa
652	2	639	nya_mura
653	2	640	Lake
654	2	641	gransel
655	2	642	Kyle
656	2	643	indigo_aik
657	2	644	reve
658	2	645	yosakuman
659	2	646	hayate518
660	2	647	spica8827
661	2	648	sour
662	2	649	moka1213
663	2	650	radical
664	2	651	tabunnhima
665	2	652	diesel
666	2	653	hageatama
667	2	654	uekawa
668	2	655	machi
669	2	656	leaf-garden
670	2	657	sabsuta
671	2	658	kuruibito
672	2	659	thylakoid
673	2	660	Gun
674	2	661	mhr39
675	2	662	karen_kira
676	2	663	akagi
677	2	664	myonmyon
678	2	60	wjkct977
679	2	665	kk1
680	2	666	marumorom
681	2	667	terius
682	2	668	asshimizu
683	2	669	TakkeyUK
684	2	670	sharpup
685	2	671	kahararika
686	2	672	Oppenheimer
687	2	673	gokiburi
688	2	674	mkt9324
689	2	675	kirisuto
690	2	676	rokka
691	2	677	yakitori
692	2	678	toraneko
693	2	679	tansio
694	2	680	i3487
695	2	681	mira
696	2	682	yunoka
697	2	683	Hobbi
698	2	684	Qlockcat
699	2	685	kakurais
700	2	686	-Dilettante-
701	2	687	spelunker
702	2	688	bethrin
703	2	689	suzumaru
704	2	690	jagtmd0111
705	2	691	primavera
706	2	692	pupuko
707	2	693	kimiai
708	2	694	avenger1222
709	2	695	kikiki
710	2	696	tiptapto
711	2	697	nakaba
712	2	272	Yuma_K
713	2	698	panapp
714	2	699	COM
715	2	700	fffeee121
716	2	701	Sorairokaede
717	2	702	lhybrid
718	2	703	8810
719	2	704	syobon5819
720	2	705	biobio
721	2	706	Hina
722	2	707	naomomo
723	2	708	Uganda33
724	2	709	beatliche
725	2	710	Harumaki
726	2	711	DoboshiEarth
727	2	712	chocoball
728	2	713	tarosuke
729	2	714	mosoho
730	2	715	operara
731	2	716	xlneolx
732	2	717	washo
733	2	718	nepia2
734	2	719	lark
735	2	720	Mcburney
736	2	721	lenge
737	2	722	ferias044331
738	2	723	reisi125
739	2	724	nullpoint
740	2	725	asagjri
741	2	726	torohiko
742	2	727	windfall
743	2	728	mymomoto
744	2	729	tugawakou
745	2	730	renrz
746	2	731	totori
747	2	732	yukari
748	2	733	LOLO
749	2	734	shinta
750	2	735	siki_magamo
751	2	736	tsumika
752	2	737	Ron
753	2	738	snes
754	2	739	tiktikmon
755	2	740	soro0013648
756	2	741	zwzwzw
757	2	742	biatra
758	2	743	tata
759	2	744	lana
760	2	745	mmkk
761	2	746	kowcow001
762	2	747	SaltApple
763	2	748	perter
764	2	749	bluebee
765	2	750	brandpanic
766	2	751	porio
767	2	752	Obaco
768	2	753	BABYLONEX
769	2	754	agehatefu
770	2	755	kiyoshy
771	2	756	odonoview
772	2	757	Sakasad
773	2	758	takenohito
774	2	759	Cino
775	2	760	kazune7
776	2	761	seabreamx2
777	2	762	dreamcat
778	2	763	conflict
779	2	764	zidane
780	2	765	bokepunch
781	2	766	nina
782	2	767	Neco
783	2	768	al100
784	2	769	tanakiki
785	2	770	stara
786	2	771	benzene
787	2	772	iii
788	2	773	honorin
789	2	774	lid1223
790	2	775	nanikanoegg
791	2	776	peporolin
792	2	777	einsel
793	2	778	coco
794	2	779	kanatake
795	2	780	nekomiya
796	2	781	Player
797	2	782	blanca
798	2	783	spoon
799	2	784	augustus
800	2	785	kiku869
801	2	786	otake
802	2	787	kiki-lala
803	2	788	Akasakisuko
804	2	789	ky3
805	2	790	ZKHK
806	2	791	fcdandelion
807	2	792	alone
808	2	793	namiki
809	2	794	haruyuki1995
810	2	795	botuo
811	2	796	simozawa12
812	2	797	sc021304
813	2	798	m5bo
814	2	799	nyujin
815	2	800	2cherry
816	2	801	Shion
817	2	802	konbu
818	2	803	guttyann
819	2	61	okome_0p0
820	2	804	robita
821	2	156	tsukiusa
822	2	805	NAK
823	2	806	senaka0423
824	2	807	ssssa
825	2	808	ipei
826	2	809	doubleHN
827	2	810	whiteookami
828	2	811	paco
829	2	812	usasapanchi
830	2	813	TypeC
831	2	814	ShiroNeko
832	2	815	yuugao
833	2	816	alull
834	2	817	toras
835	2	818	tapioka2002
836	2	819	kuunel
837	2	820	Lanna
838	2	821	ryle
839	2	822	aaiiuu
840	2	823	kinako
841	2	824	plionvoe
842	2	825	rikblue1
843	2	826	herbstwind
844	2	827	yuripe
845	2	828	leams
846	2	829	animamundi
847	2	830	moyu
848	2	831	toro
849	2	832	nss
850	2	833	rutall
851	2	834	kille
852	2	835	himawarin5
853	2	836	---
854	2	837	pipipippi
855	2	838	silvia
856	2	839	siranui1564
857	2	840	yk821221
858	2	841	mahiru0716
859	2	842	aoki
860	2	843	Colasour
861	2	844	snowwhite
862	2	845	syeny
863	2	846	f012
864	2	847	moke
865	2	848	omanta
866	2	233	utylove
867	2	849	Milki
868	2	850	lcp
869	2	851	perokichi
870	2	852	fukurou0922
871	2	853	benisyouga
872	2	854	lucky666
873	2	855	momonga
874	2	856	Tnkc
875	2	857	lll
876	2	858	ahohohoho
877	2	859	qzqzmch
878	2	860	-o-
879	2	861	taiki
880	2	862	dorakira
881	2	863	mashy5
882	2	864	makumin
883	2	865	ktako
884	2	866	lance
885	2	867	phantom
886	2	868	AM_369
887	2	869	minatosn
888	2	870	caligula
889	2	871	honya
890	2	872	royce
891	2	873	clown
892	2	874	colloid
893	2	875	sayaendoo
894	2	876	Latte
895	2	877	Salmonberry
896	2	878	vienca
897	2	879	ShuRa
898	2	880	uririn1224
899	2	881	yumezi
900	2	882	ari
901	2	883	cielo
902	2	884	nemunoki00
903	2	885	TEMPEST
904	2	886	Mizushi
905	2	887	tobacco
906	2	888	caras
907	2	889	seal
908	2	890	yamanbow
909	2	891	aqu
910	2	892	wlid
911	2	893	dara
912	2	894	dokuringo
913	2	895	recent
914	2	896	rigel
915	2	897	yukirin
916	2	898	hei83
917	2	899	mametaso
918	2	900	seiya425
919	2	901	piyonista
920	2	902	denshu
921	2	903	karasu29
922	2	904	nobuwo
923	2	905	sensay
924	2	906	yabo1208
925	2	907	Iziz
926	2	908	Null
927	2	909	nereid502
928	2	910	christianity
929	2	911	incompat1
930	2	912	penpens
931	2	913	sugar
932	2	914	wol
933	2	915	lumiere
934	2	916	K-346
935	2	917	yomiyomi
936	2	918	Elermy
937	2	919	anderson
938	2	920	igrs_67
939	2	921	uhi
940	2	922	o00o90
941	2	923	azuresea
942	2	924	TanaxPame
943	2	925	Leina2059
944	2	926	zenipata
945	2	927	Urushi77
946	2	928	Gatya
947	2	929	risosu
948	2	930	lol
949	2	931	Akercock
950	2	932	sadlva
951	2	933	airis0610
952	2	934	yukiringo
953	2	935	chuya
954	2	936	Kanaeneko
955	2	937	y0m0
956	2	938	RayRay
957	2	939	yukimikleo
958	2	940	freddy
959	2	941	ourself
960	2	170	chieri
961	2	942	shomcat
962	2	943	linkinp
963	2	944	citrine
964	2	945	kokekko
965	2	946	Con
966	2	947	jakefellu
967	2	948	et8
968	2	949	ricobon
969	2	950	yamap
970	2	951	cutenekokami
971	2	952	LaLaLiLi
972	2	953	valk
973	2	954	Kurumon
974	2	955	sirube15
975	2	956	sususu
976	2	957	Laemmle
977	2	958	COMETAN
978	2	959	ashleef
979	2	960	RTA2
980	2	961	tukumo99
981	2	962	yuudachi
982	2	963	holykiss
983	2	964	griffin
984	2	965	kc_1218128
985	2	966	meikyoku
986	2	967	she-her-her
987	2	968	maitosan
988	2	969	limlia
989	2	970	hanamizuki
990	2	971	monagram01
991	2	972	a-z
992	2	973	nack99
993	2	974	pacorabanne
994	2	975	samsa
995	2	976	weno
996	2	977	_jpt_
997	2	978	kazunya
998	2	979	1raimu1
999	2	980	k5fsora
1000	2	981	hananokeiji
1001	2	982	haragro
1002	2	983	monnie
1003	2	984	fubirai19
1004	2	985	orange104
1005	2	986	kazuya
1006	2	987	utatsubaki
1007	2	988	haraguro_inu
1008	2	989	yuum0713
1009	2	990	Cirno
1010	2	991	watereal
1011	2	992	hqluchy
1012	2	993	mmoto
1013	2	994	m__tan
1014	2	995	ariariran
1015	2	996	yuzutya
1016	2	997	mios
1017	2	998	sucky
1018	2	999	mitune
1019	2	1000	zushi0905
1020	2	1001	myamoto
1021	2	1002	hayamin
1022	2	1003	Moyox
1023	2	1004	TM1
1024	2	1005	c3por2d2
1025	2	1006	Arnim
1026	2	1007	yag
1027	2	1008	misiro
1028	2	1009	shu
1029	2	1010	nunuo
1030	2	1011	urakko
1031	2	1012	hero30second
1032	2	1013	akayume
1033	2	1014	ruriko
1034	2	1015	CoAma
1035	2	1016	tatsuom
1036	2	1017	satoimo
1037	2	1018	shiromochi
1038	2	1019	hiropon
1039	2	1020	kei33
1040	2	1021	Lin
1041	2	1022	gogotea
1042	2	1023	rinriko
1043	2	1024	GENKI
1044	2	1025	TSO
1045	2	240	aoill
1046	2	1026	vz44
1047	2	1027	yek
1048	2	1028	saki_gs
1049	2	1029	Halcyon666
1050	2	1030	top41
1051	2	1031	8madan
1052	2	1032	kandara
1053	2	1033	artcraft
1054	2	1034	kuromuwabi
1055	2	1035	rakusu
1056	2	1036	painXi
1057	2	1037	5milli
1058	2	1038	som_metty
1059	2	1039	aknprpr
1060	2	1040	india
1061	2	1041	sui
1062	2	1042	fugusuke
1063	2	1043	storm
1064	2	1044	Mikann3017
1065	2	1045	rifeiren
1066	2	1046	motimoti
1067	2	1047	wktz4887
1068	2	1048	kumakiti
1069	2	1049	hoodian
1070	2	1050	murasaki8286
1071	2	1051	Cinnamon
1072	2	162	yukipess
1073	2	1052	IDFT
1074	2	1053	kokimaru
1075	2	1054	flash
1076	2	1055	ojisandayo1
1077	2	1056	asbel
1078	2	1057	tanishi
1079	2	1058	hanna
1080	2	1059	dorothy
1081	2	1060	yurei123456
